Rank,English Title,Japanese Title,MAL Link
89,Blue Giant,BLUE GIANT,https://myanimelist.net/manga/85719/Blue_Giant
90,Bakemonogatari,化物語,https://myanimelist.net/manga/113010/Bakemonogatari
91,A Sign of Affection,ゆびさきと恋々,https://myanimelist.net/manga/121504/Yubisaki_to_Renren
92,I Want to Eat Your Pancreas,君の膵臓をたべたい,https://myanimelist.net/manga/104538/Kimi_no_Suizou_wo_Tabetai
93,Spirit Circle,スピリットサークル,https://myanimelist.net/manga/38071/Spirit_Circle
94,Bungou Stray Dogs,文豪ストレイドッグス,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs
95,Shimeji Simulation,シメジ シミュレーション,https://myanimelist.net/manga/117851/Shimeji_Simulation
96,Spy x Family,SPY×FAMILY,https://myanimelist.net/manga/119161/Spy_x_Family
97,Blue Lock,ブルーロック,https://myanimelist.net/manga/114745/Blue_Lock
98,Uma Musume Cinderella Gray,ウマ娘 シンデレラグレイ,https://myanimelist.net/manga/133431/Uma_Musume_Cinderella_Gray
99,JoJo Part 8: JoJolion,ジョジョの奇妙な冒険 Part8 ジョジョリオン,https://myanimelist.net/manga/25515/JoJo_no_Kimyou_na_Bouken_Part_8__JoJolion
100,The Case Study of Vanitas,ヴァニタスの手記,https://myanimelist.net/manga/93753/Vanitas_no_Karte
101,Hinamatsuri,ヒナまつり,https://myanimelist.net/manga/36413/Hinamatsuri
102,Our Dreams at Dusk,しまなみ誰そ彼,https://myanimelist.net/manga/97244/Shimanami_Tasogare
103,Eyeshield 21,アイシールド21,https://myanimelist.net/manga/43/Eyeshield_21
104,Cross Game,クロスゲーム,https://myanimelist.net/manga/1183/Cross_Game
105,The World God Only Knows,神のみぞ知るセカイ,https://myanimelist.net/manga/7519/Kami_nomi_zo_Shiru_Sekai
106,Spice and Wolf,狼と香辛料,https://myanimelist.net/manga/3299/Ookami_to_Koushinryou
107,Rainbow,RAINBOW 二舎六房の七人,https://myanimelist.net/manga/7482/Rainbow__Nisha_Rokubou_no_Shichinin
108,Dandadan,ダンダダン,https://myanimelist.net/manga/135496/Dandadan
109,Moriarty the Patriot,憂国のモリアーティ,https://myanimelist.net/manga/100323/Yuukoku_no_Moriarty
110,Dragon Ball,ドラゴンボール,https://myanimelist.net/manga/42/Dragon_Ball
111,Doraemon,ドラえもん,https://myanimelist.net/manga/1032/Doraemon
112,Glass Mask,ガラスの仮面,https://myanimelist.net/manga/1469/Glass_no_Kamen
113,Holyland,ホーリーランド,https://myanimelist.net/manga/3285/Holyland
114,Barakamon,ばらかもん,https://myanimelist.net/manga/17051/Barakamon
115,Monthly Girls' Nozaki-kun,月刊少女野崎くん,https://myanimelist.net/manga/29211/Gekkan_Shoujo_Nozaki-kun
116,Look Back,ルックバック,https://myanimelist.net/manga/138673/Look_Back
117,Kaiji,賭博黙示録カイジ,https://myanimelist.net/manga/3572/Tobaku_Mokushiroku_Kaiji
118,Blade of the Immortal,無限の住人,https://myanimelist.net/manga/658/Mugen_no_Juunin
119,Black Butler,黒執事,https://myanimelist.net/manga/3866/Kuroshitsuji
120,Horimiya,ホリミヤ,https://myanimelist.net/manga/42451/Horimiya
121,Insomniacs After School,君は放課後インソムニア,https://myanimelist.net/manga/121213/Kimi_wa_Houkago_Insomnia
122,Nodame Cantabile,のだめカンタービレ,https://myanimelist.net/manga/419/Nodame_Cantabile
123,Basara,BASARA,https://myanimelist.net/manga/974/Basara
124,Masturbation Master Kurosawa,オナニーマスター黒沢,https://myanimelist.net/manga/8967/Onanie_Master_Kurosawa
125,Innocent Rouge,イノサン Rouge,https://myanimelist.net/manga/93699/Innocent_Rouge
126,Laid-Back Camp,ゆるキャン△,https://myanimelist.net/manga/94376/Yuru_Camp
127,Your Name,君の名は。,https://myanimelist.net/manga/99314/Kimi_no_Na_wa
128,Battle Angel Alita,銃夢 GUNNM,https://myanimelist.net/manga/768/Gunnm
129,Maid Sama!,会長はメイド様!,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
130,Nichijou,日常,https://myanimelist.net/manga/3082/Nichijou
131,Alice in Borderland,今際の国のアリス,https://myanimelist.net/manga/33031/Imawa_no_Kuni_no_Alice
132,Tomodachi Game,トモダチゲーム,https://myanimelist.net/manga/62795/Tomodachi_Game
133,That Time I Got Reincarnated as a Slime,転生したらスライムだった件,https://myanimelist.net/manga/87609/Tensei_shitara_Slime_Datta_Ken
134,xxxHOLiC,xxxHOLiC,https://myanimelist.net/manga/10/xxxHOLiC
135,Azumanga Daioh,あずまんが大王,https://myanimelist.net/manga/85/Azumanga_Daioh
136,Cardcaptor Sakura,カードキャプターさくら,https://myanimelist.net/manga/106/Cardcaptor_Sakura
137,Parasyte,寄生獣,https://myanimelist.net/manga/401/Kiseijuu
138,SKET Dance,SKET DANCE,https://myanimelist.net/manga/1414/SKET_Dance
139,Bakuman,BAKUMAN。,https://myanimelist.net/manga/9711/Bakuman
140,I Had That Same Dream Again,また、同じ夢を見ていた,https://myanimelist.net/manga/110160/Mata_Onaji_Yume_wo_Miteita
141,Noragami,ノラガミ,https://myanimelist.net/manga/24692/Noragami
142,Erased,僕だけがいない街,https://myanimelist.net/manga/39325/Boku_dake_ga_Inai_Machi
143,Welcome to the Ballroom,ボールルームへようこそ,https://myanimelist.net/manga/48347/Ballroom_e_Youkoso
144,The Rose of Versailles,ベルサイユのばら,https://myanimelist.net/manga/660/Versailles_no_Bara
145,Zatch Bell!,金色のガッシュ!!,https://myanimelist.net/manga/869/Konjiki_no_Gash
146,Shadows House,シャドーハウス,https://myanimelist.net/manga/115730/Shadows_House
147,Wotakoi: Love is Hard for Otaku,ヲタクに恋は難しい,https://myanimelist.net/manga/89087/Wotaku_ni_Koi_wa_Muzukashii
148,Welcome to Demon School! Iruma-kun,魔入りました!入間くん,https://myanimelist.net/manga/104241/Mairimashita_Iruma-kun
149,Barefoot Gen,はだしのゲン,https://myanimelist.net/manga/3281/Hadashi_no_Gen
150,The Saga of Tanya the Evil,幼女戦記,https://myanimelist.net/manga/98436/Youjo_Senki
151,The Ancient Magus' Bride,魔法使いの嫁,https://myanimelist.net/manga/61189/Mahoutsukai_no_Yome
152,Silver Spoon,銀の匙 Silver Spoon,https://myanimelist.net/manga/25096/Gin_no_Saji
153,JoJo Part 9: The JoJoLands,ジョジョの奇妙な冒険 Part9 The JOJOLands,https://myanimelist.net/manga/139629/JoJo_no_Kimyou_na_Bouken_Part_9__The_JoJoLands
154,The Girl From the Other Side,とつくにの少女,https://myanimelist.net/manga/93972/Totsukuni_no_Shoujo
155,Lovely Complex,ラブ★コン,https://myanimelist.net/manga/31/Lovelyâ˜…Complex
156,Gakuen Alice,学園アリス,https://myanimelist.net/manga/320/Gakuen_Alice
157,Forest of Piano,ピアノの森,https://myanimelist.net/manga/2895/Piano_no_Mori
158,Bocchi the Rock!,ぼっち・ざ・ろっく!,https://myanimelist.net/manga/118568/Bocchi_the_Rock
159,Fate/type Redline,帝都聖杯奇譚 Fate/type Redline,https://myanimelist.net/manga/123444/Teito_Seihai_Kitan__Fate_type_Redline
160,Blue Box,アオのハコ,https://myanimelist.net/manga/135545/Ao_no_Hako
161,Blade of the Phantom Master,新暗行御史,https://myanimelist.net/manga/736/Shin_Angyo_Onshi
162,Touch,タッチ,https://myanimelist.net/manga/1013/Touch
163,Lucifer and the Biscuit Hammer,惑星のさみだれ,https://myanimelist.net/manga/10552/Hoshi_no_Samidare
164,The Disastrous Life of Saiki K.,斉木楠雄のΨ難,https://myanimelist.net/manga/37755/Saiki_Kusuo_no_Î¨-nan
165,Black Jack,ブラック・ジャック,https://myanimelist.net/manga/1600/Black_Jack
166,Kimi ni Todoke,君に届け,https://myanimelist.net/manga/3378/Kimi_ni_Todoke
167,Tsubasa: Reservoir Chronicle,ツバサ,https://myanimelist.net/manga/9/Tsubasa__RESERVoir_CHRoNiCLE
168,Paradise Kiss,パラダイス・キス,https://myanimelist.net/manga/29/Paradise_Kiss
169,Blame!,BLAME!,https://myanimelist.net/manga/149/Blame
170,Black Lagoon,ブラックラグーン,https://myanimelist.net/manga/735/Black_Lagoon
171,Classmates,同級生,https://myanimelist.net/manga/9699/Doukyuusei
172,D.Gray-man,D.Gray-man,https://myanimelist.net/manga/24/DGray-man
173,Red River,天は赤い河のほとり,https://myanimelist.net/manga/79/Sora_wa_Akai_Kawa_no_Hotori
174,Hellsing,ヘルシング,https://myanimelist.net/manga/267/Hellsing
175,Claymore,CLAYMORE,https://myanimelist.net/manga/583/Claymore
176,Angel Densetsu,エンジェル伝説,https://myanimelist.net/manga/838/Angel_Densetsu
177,Case Closed,名探偵コナン,https://myanimelist.net/manga/1061/Meitantei_Conan
178,Buddha,ブッダ,https://myanimelist.net/manga/1111/Buddha
179,Descending Stories: Showa Genroku Rakugo Shinju,昭和元禄落語心中,https://myanimelist.net/manga/26704/Shouwa_Genroku_Rakugo_Shinjuu
180,Orange,orange,https://myanimelist.net/manga/35573/Orange
181,Hana-Kimi,花ざかりの君たちへ,https://myanimelist.net/manga/57/Hanazakari_no_Kimitachi_e
182,Trigun Maximum,トライガンマキシマム,https://myanimelist.net/manga/704/Trigun_Maximum
183,To Your Eternity,不滅のあなたへ,https://myanimelist.net/manga/102343/Fumetsu_no_Anata_e
184,Kengan Ashura,ケンガンアシュラ,https://myanimelist.net/manga/72025/Kengan_Ashura
185,Dengeki Daisy,電撃デイジー,https://myanimelist.net/manga/5255/Dengeki_Daisy
186,Magi,マギ,https://myanimelist.net/manga/14790/Magi
187,Princess Jellyfish,海月姫,https://myanimelist.net/manga/17904/Kuragehime
188,Liar Game,LIAR GAME,https://myanimelist.net/manga/1649/Liar_Game
189,The Dangers in My Heart,僕の心のヤバイやつ,https://myanimelist.net/manga/112807/Boku_no_Kokoro_no_Yabai_Yatsu
190,The Eminence in Shadow,陰の実力者になりたくて!,https://myanimelist.net/manga/119022/Kage_no_Jitsuryokusha_ni_Naritakute
191,Initial D,頭文字D,https://myanimelist.net/manga/375/Initial_D
192,Planetes,プラネテス,https://myanimelist.net/manga/481/Planetes
193,Honey and Clover,ハチミツとクローバー,https://myanimelist.net/manga/1009/Hachimitsu_to_Clover
194,JoJo Part 6: Stone Ocean,ジョジョの奇妙な冒険 ストーンオーシャン,https://myanimelist.net/manga/3009/JoJo_no_Kimyou_na_Bouken_Part_6__Stone_Ocean
195,The Summit of the Gods,神々の山嶺,https://myanimelist.net/manga/4625/Kamigami_no_Itadaki
196,A Certain Scientific Railgun,とある科学の超電磁砲,https://myanimelist.net/manga/7776/Toaru_Majutsu_no_Index_Gaiden__Toaru_Kagaku_no_Railgun
197,Assassination Classroom,暗殺教室,https://myanimelist.net/manga/39883/Ansatsu_Kyoushitsu
198,Beastars,BEASTARS,https://myanimelist.net/manga/103701/Beastars
199,Jujutsu Kaisen,呪術廻戦,https://myanimelist.net/manga/113138/Jujutsu_Kaisen
200,Petshop of Horrors,Petshop of Horrors,https://myanimelist.net/manga/128/Petshop_of_Horrors
201,Ace of Diamond,ダイヤのA,https://myanimelist.net/manga/10884/Diamond_no_Ace
202,Daily Lives of High School Boys,男子高校生の日常,https://myanimelist.net/manga/26144/Danshi_Koukousei_no_Nichijou
203,Summertime Render,サマータイムレンダ,https://myanimelist.net/manga/110031/Summertime_Render
204,Hell's Paradise: Jigokuraku,地獄楽,https://myanimelist.net/manga/112318/Jigokuraku
205,7 Seeds,7SEEDS,https://myanimelist.net/manga/1075/7_Seeds
206,Snow White with the Red Hair,赤髪の白雪姫,https://myanimelist.net/manga/4571/Akagami_no_Shirayuki-hime
207,Crows,クローズ,https://myanimelist.net/manga/5651/Crows
208,Non Non Biyori,のんのんびより,https://myanimelist.net/manga/17552/Non_Non_Biyori
209,Genshiken,げんしけん,https://myanimelist.net/manga/348/Genshiken
210,Wandering Son,放浪息子,https://myanimelist.net/manga/585/Hourou_Musuko
211,Eden: It's an Endless World!,EDEN,https://myanimelist.net/manga/731/Eden__Its_an_Endless_World
212,Sanctuary,サンクチュアリ,https://myanimelist.net/manga/1461/Sanctuary
213,Solanin,ソラニン,https://myanimelist.net/manga/3731/Solanin
214,The Witch and the Beast,魔女と野獣,https://myanimelist.net/manga/106204/Majo_to_Yajuu
215,Tsurezure Children,徒然チルドレン,https://myanimelist.net/manga/58027/Tsurezure_Children
216,Dead Dead Demons Dededede Destruction,デッドデッドデーモンズ,https://myanimelist.net/manga/70801/Dead_Dead_Demons_Dededede_Destruction
217,The Flowers of Evil,惡の華,https://myanimelist.net/manga/24705/Aku_no_Hana
218,House of the Sun,たいようのいえ,https://myanimelist.net/manga/26736/Taiyou_no_Ie
219,Akagi,アカギ,https://myanimelist.net/manga/1218/Akagi__Yami_ni_Oritatta_Tensai
220,Dusk Maiden of Amnesia,黄昏乙女×アムネジア,https://myanimelist.net/manga/15805/Tasogare_Otome_x_Amnesia
221,Dr. Stone,Dr.STONE,https://myanimelist.net/manga/103897/Dr_Stone
222,Sailor Moon,美少女戦士セーラームーン,https://myanimelist.net/manga/92/Bishoujo_Senshi_Sailor_Moon
223,YuYu Hakusho,幽☆遊☆白書,https://myanimelist.net/manga/53/Yuuâ˜†Yuuâ˜†Hakusho
224,JoJo Part 5: Golden Wind,ジョジョの奇妙な冒険 黄金の風,https://myanimelist.net/manga/3008/JoJo_no_Kimyou_na_Bouken_Part_5__Ougon_no_Kaze
225,Call of the Night,よふかしのうた,https://myanimelist.net/manga/121480/Yofukashi_no_Uta
226,Chi: On the Movements of the Earth,チ。―地球の運動について―,https://myanimelist.net/manga/137939/Chi_Chikyuu_no_Undou_ni_Tsuite
227,Uzumaki,うずまき,https://myanimelist.net/manga/436/Uzumaki
228,Fly Me to the Moon,トニカクカワイイ,https://myanimelist.net/manga/112589/Tonikaku_Kawaii
229,My Love Story with Yamada-kun at Lv999,山田くんとLv999の恋をする,https://myanimelist.net/manga/125054/Yamada-kun_to_Lv999_no_Koi_wo_Suru
230,Billy Bat,BILLY BAT,https://myanimelist.net/manga/11054/Billy_Bat
231,Blue Lock,ブルーロック,https://myanimelist.net/manga/114745/Blue_Lock
232,Gantz,GANTZ,https://myanimelist.net/manga/564/Gantz
233,Claymore,CLAYMORE,https://myanimelist.net/manga/583/Claymore
234,Ranma 1/2,らんま1/2,https://myanimelist.net/manga/122/Ranma_1_2
235,InuYasha,犬夜叉,https://myanimelist.net/manga/676/InuYasha
236,Bleach,BLEACH,https://myanimelist.net/manga/12/Bleach
237,Naruto,NARUTO,https://myanimelist.net/manga/11/Naruto
238,Fairy Tail,FAIRY TAIL,https://myanimelist.net/manga/598/Fairy_Tail
239,Soul Eater,ソウルイーター,https://myanimelist.net/manga/742/Soul_Eater
240,The Promised Neverland,約束のネバーランド,https://myanimelist.net/manga/100128/Yakusoku_no_Neverland
241,Fire Force,炎炎ノ消防隊,https://myanimelist.net/manga/92723/Enen_no_Shouboutai
242,Blue Exorcist,青の祓魔師,https://myanimelist.net/manga/13440/Ao_no_Exorcist
243,Magi: The Labyrinth of Magic,マギ,https://myanimelist.net/manga/14790/Magi
244,Terror in Resonance,残響のテロル,https://myanimelist.net/manga/72501/Zankyou_no_Terror
245,Devilman,デビルマン,https://myanimelist.net/manga/1474/Devilman
246,Great Teacher Onizuka,GTO,https://myanimelist.net/manga/336/GTO
247,Beelzebub,べるぜバブ,https://myanimelist.net/manga/10010/Beelzebub
248,Drifters,ドリフターズ,https://myanimelist.net/manga/13801/Drifters
249,Ajin: Demi-Human,亜人,https://myanimelist.net/manga/49865/Ajin
250,Prison School,監獄学園,https://myanimelist.net/manga/30297/Kangoku_Gakuen
251,Highschool of the Dead,学園黙示録,https://myanimelist.net/manga/669/Highschool_of_the_Dead
252,Kuroko's Basketball,黒子のバスケ,https://myanimelist.net/manga/11652/Kuroko_no_Basket
253,Food Wars!: Shokugeki no Soma,食戟のソーマ,https://myanimelist.net/manga/45757/Shokugeki_no_Souma
254,Dorohedoro,ドロヘドロ,https://myanimelist.net/manga/1133/Dorohedoro
255,Hellsing,ヘルシング,https://myanimelist.net/manga/267/Hellsing
256,Psycho-Pass,PSYCHO-PASS,https://myanimelist.net/manga/44933/Psycho-Pass
257,Black Clover,ブラッククローバー,https://myanimelist.net/manga/86337/Black_Clover
258,My Hero Academia,僕のヒーローアカデミア,https://myanimelist.net/manga/75261/Boku_no_Hero_Academia
259,Demon Slayer,鬼滅の刃,https://myanimelist.net/manga/96792/Kimetsu_no_Yaiba
260,The Seven Deadly Sins,七つの大罪,https://myanimelist.net/manga/43585/Nanatsu_no_Taizai
261,Toriko,トリコ,https://myanimelist.net/manga/7887/Toriko
262,Gintama,銀魂,https://myanimelist.net/manga/44/Gintama
263,Reborn!,家庭教師ヒットマンREBORN!,https://myanimelist.net/manga/33/Katekyo_Hitman_Reborn
264,Bungo Stray Dogs,文豪ストレイドッグス,https://myanimelist.net/manga/56529/Bungou_Stray_Dogs
265,Deadman Wonderland,デッドマン・ワンダーランド,https://myanimelist.net/manga/3986/Deadman_Wonderland
266,Akame ga Kill!,アカメが斬る!,https://myanimelist.net/manga/25132/Akame_ga_Kill
267,Seraph of the End,終わりのセラフ,https://myanimelist.net/manga/43661/Owari_no_Seraph
268,Twin Star Exorcists,双星の陰陽師,https://myanimelist.net/manga/60511/Sousei_no_Onmyouji
269,Noragami: Stray God,ノラガミ,https://myanimelist.net/manga/24692/Noragami
270,D.Gray-man,D.Gray-man,https://myanimelist.net/manga/24/DGray-man
271,Pandora Hearts,PandoraHearts,https://myanimelist.net/manga/3031/Pandora_Hearts
272,07-Ghost,07-GHOST,https://myanimelist.net/manga/1836/07-Ghost
273,Kuroshitsuji,黒執事,https://myanimelist.net/manga/3866/Kuroshitsuji
274,Vampire Knight,ヴァンパイア騎士,https://myanimelist.net/manga/15/Vampire_Knight
275,Ouran High School Host Club,桜蘭高校ホスト部,https://myanimelist.net/manga/30/Ouran_Koukou_Host_Club
276,Fruits Basket,フルーツバスケット,https://myanimelist.net/manga/102/Fruits_Basket
277,Kamisama Kiss,神様はじめました,https://myanimelist.net/manga/8157/Kamisama_Hajimemashita
278,Say "I Love You.",好きっていいなよ。,https://myanimelist.net/manga/11767/Sukitte_Ii_na_yo
279,Blue Spring Ride,アオハライド,https://myanimelist.net/manga/24294/Ao_Haru_Ride
280,Maid Sama!,会長はメイド様!,https://myanimelist.net/manga/2921/Kaichou_wa_Maid-sama
281,Kimi ni Todoke: From Me to You,君に届け,https://myanimelist.net/manga/3378/Kimi_ni_Todoke
282,Special A,S・A(スペシャル・エー),https://myanimelist.net/manga/1271/Special_A
283,Horimiya,ホリミヤ,https://myanimelist.net/manga/42451/Horimiya
284,Toradora!,とらドラ!,https://myanimelist.net/manga/4368/Toradora
285,Lovely Complex,ラブ★コン,https://myanimelist.net/manga/31/Lovelyâ˜…Complex
286,Itazura na Kiss,イタズラなKiss,https://myanimelist.net/manga/352/Itazura_na_Kiss
287,Skip Beat!,スキップ・ビート!,https://myanimelist.net/manga/610/Skip_Beat
288,Nana,NANA,https://myanimelist.net/manga/28/Nana
289,Paradise Kiss,パラダイス・キス,https://myanimelist.net/manga/29/Paradise_Kiss
290,Neighborhood Story,ご近所物語,https://myanimelist.net/manga/270/Gokinjo_Monogatari
291,Mars,MARS,https://myanimelist.net/manga/443/Mars
292,High School Debut,高校デビュー,https://myanimelist.net/manga/591/Koukou_Debut
293,Strobe Edge,ストロボ・エッジ,https://myanimelist.net/manga/7378/Strobe_Edge
294,Orange,orange,https://myanimelist.net/manga/35573/Orange
295,A Silent Voice,聲の形,https://myanimelist.net/manga/56805/Koe_no_Katachi
